time_hr,od650nm,culture_temp_C,stir_rate,date,strain,tech_rep,preshift_carbon,preshift_conc_M,postshift_carbon,postshift_conc_M
5.277777777777778e-05,0.0152054321294718,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.01674166666666667,0.0129074113290742,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.03342222222222222,0.0108882954859452,36.55000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.050100000000000006,0.0106082603141905,37.25000000000006,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.06678055555555555,0.0152793816218476,36.650000000000034,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.08346944444444444,0.0136754746113415,36.73000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.10014722222222222,0.0131563363309593,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.116825,0.0108914191008995,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.13351666666666667,0.014021715936989,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.15019444444444446,0.0103848176015176,37.13000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.166875,0.0119689833757637,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.18356666666666668,0.0121463272122892,37.170000000000016,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.20024722222222222,0.012180745029934,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.2169361111111111,0.0049263914697336,37.09000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.2336111111111111,0.0139128450779938,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.2502861111111111,0.0177742708866431,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.266975,0.0148480905890104,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.28365555555555555,0.0159636686016235,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.30033611111111114,0.0152670616911925,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.3170138888888889,0.0187943960523779,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.3337,0.0239422180381842,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.3503833333333334,0.0214251469300973,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.3670611111111111,0.0222186820481816,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.38374166666666665,0.0122732912216357,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.40043055555555557,0.0202372348582287,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.41711388888888884,0.0207261229701171,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.4338,0.0227099799072999,37.170000000000016,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.45048333333333335,0.0320343829203038,37.110000000000014,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.4671666666666667,0.0203324481469884,36.870000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.4838555555555556,0.0222475920890524,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.5005444444444445,0.0217676188147558,37.05000000000001,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.5172277777777777,0.0217865013166903,36.950000000000045,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.5339083333333333,0.0181381215893966,36.97000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.5505833333333333,0.0214306536748266,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.5672583333333333,0.0161765752559077,36.85000000000002,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.5839472222222223,0.0149419032214949,37.03000000000003,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.6006333333333334,0.0199639696941557,36.89000000000004,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
0.6173222222222222,0.0150048050981104,37.01000000000005,0.75,2024-04-18,WT,1,glucose,0.005,acetate,0.03
