well,od600nm,identifier,replicate,growth_medium,date,run_number,time_hr,avg_blank_value,strain,class,od600nm_subtracted
C3,0.085,GC032,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆mal,Single KO,0.005888888888888888
C4,0.087,GC049,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆pot,Single KO,0.007888888888888876
C5,0.088,GC052,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆nmp,Single KO,0.008888888888888877
C6,0.085,GC047,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆his,Single KO,0.005888888888888888
C7,0.088,GC050,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆rbs,Single KO,0.008888888888888877
C8,0.083,GC048,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆dpp,Single KO,0.003888888888888886
C9,0.086,GC053,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆opp,Single KO,0.006888888888888875
C10,0.087,GC055,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆mgl,Single KO,0.007888888888888876
D3,0.086,GC032,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆mal,Single KO,0.006888888888888875
D4,0.084,GC049,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆pot,Single KO,0.004888888888888887
D5,0.084,GC052,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆nmp,Single KO,0.004888888888888887
D6,0.087,GC047,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆his,Single KO,0.007888888888888876
D7,0.089,GC050,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆rbs,Single KO,0.009888888888888878
D8,0.083,GC048,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆dpp,Single KO,0.003888888888888886
D9,0.083,GC053,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆opp,Single KO,0.003888888888888886
D10,0.088,GC055,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆mgl,Single KO,0.008888888888888877
E3,0.084,GC032,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆mal,Single KO,0.004888888888888887
E4,0.086,GC049,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆pot,Single KO,0.006888888888888875
E5,0.085,GC052,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆nmp,Single KO,0.005888888888888888
E6,0.088,GC047,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆his,Single KO,0.008888888888888877
E7,0.087,GC050,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆rbs,Single KO,0.007888888888888876
E8,0.083,GC048,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆dpp,Single KO,0.003888888888888886
E9,0.085,GC053,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆opp,Single KO,0.005888888888888888
E10,0.088,GC055,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆mgl,Single KO,0.008888888888888877
F3,0.084,GC030,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆glt,Single KO,0.004888888888888887
F4,0.085,GC030,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆glt,Single KO,0.005888888888888888
F5,0.083,GC030,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆glt,Single KO,0.003888888888888886
F6,0.083,GC029,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆flh,Single KO,0.003888888888888886
F7,0.084,GC029,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆flh,Single KO,0.004888888888888887
F8,0.083,GC029,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,∆flh,Single KO,0.003888888888888886
F9,0.084,GC001,1,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,WT,WT,0.004888888888888887
F10,0.084,GC001,2,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,WT,WT,0.004888888888888887
F11,0.08,GC001,3,glucose-acetate,2021-09-07,1,0.0,0.07911111111111112,WT,WT,0.0008888888888888835
C3,0.086,GC032,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆mal,Single KO,0.0069629629629629625
C4,0.088,GC049,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆pot,Single KO,0.008962962962962964
C5,0.088,GC052,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆nmp,Single KO,0.008962962962962964
C6,0.086,GC047,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆his,Single KO,0.0069629629629629625
C7,0.088,GC050,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆rbs,Single KO,0.008962962962962964
C8,0.083,GC048,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆dpp,Single KO,0.003962962962962974
C9,0.086,GC053,1,glucose-acetate,2021-09-07,1,0.12555555555555556,0.07903703703703703,∆opp,Single KO,0.0069629629629629625
