well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class,od_600nm_subtracted
F10,0.084,GC001,2,glucose-acetate,2021-09-12,1,0.0,0.07903703703703703,WT,WT,0.004962962962962975
F11,0.082,GC001,3,glucose-acetate,2021-09-12,1,0.0,0.07903703703703703,WT,WT,0.002962962962962973
F10,0.085,GC001,2,glucose-acetate,2021-09-12,1,0.12555555555555556,0.07911111111111112,WT,WT,0.005888888888888888
F11,0.082,GC001,3,glucose-acetate,2021-09-12,1,0.12555555555555556,0.07911111111111112,WT,WT,0.0028888888888888853
F10,0.085,GC001,2,glucose-acetate,2021-09-12,1,0.2511111111111111,0.07922222222222221,WT,WT,0.005777777777777798
F11,0.082,GC001,3,glucose-acetate,2021-09-12,1,0.2511111111111111,0.07922222222222221,WT,WT,0.0027777777777777957
F10,0.085,GC001,2,glucose-acetate,2021-09-12,1,0.37666666666666665,0.07925925925925925,WT,WT,0.005740740740740755
F11,0.083,GC001,3,glucose-acetate,2021-09-12,1,0.37666666666666665,0.07925925925925925,WT,WT,0.003740740740740753
F10,0.086,GC001,2,glucose-acetate,2021-09-12,1,0.5022222222222222,0.0792962962962963,WT,WT,0.006703703703703698
F11,0.083,GC001,3,glucose-acetate,2021-09-12,1,0.5022222222222222,0.0792962962962963,WT,WT,0.003703703703703709
F10,0.086,GC001,2,glucose-acetate,2021-09-12,1,0.6277777777777778,0.0794074074074074,WT,WT,0.006592592592592594
F11,0.084,GC001,3,glucose-acetate,2021-09-12,1,0.6277777777777778,0.0794074074074074,WT,WT,0.0045925925925926064
F10,0.086,GC001,2,glucose-acetate,2021-09-12,1,0.7533333333333333,0.07925925925925927,WT,WT,0.006740740740740728
F11,0.084,GC001,3,glucose-acetate,2021-09-12,1,0.7533333333333333,0.07925925925925927,WT,WT,0.00474074074074074
F10,0.086,GC001,2,glucose-acetate,2021-09-12,1,0.8788888888888889,0.07933333333333333,WT,WT,0.006666666666666668
F11,0.084,GC001,3,glucose-acetate,2021-09-12,1,0.8788888888888889,0.07933333333333333,WT,WT,0.00466666666666668
F10,0.087,GC001,2,glucose-acetate,2021-09-12,1,1.0044444444444445,0.07933333333333333,WT,WT,0.007666666666666669
F11,0.084,GC001,3,glucose-acetate,2021-09-12,1,1.0044444444444445,0.07933333333333333,WT,WT,0.00466666666666668
F10,0.087,GC001,2,glucose-acetate,2021-09-12,1,1.13,0.0792962962962963,WT,WT,0.007703703703703699
F11,0.085,GC001,3,glucose-acetate,2021-09-12,1,1.13,0.0792962962962963,WT,WT,0.005703703703703711
F10,0.087,GC001,2,glucose-acetate,2021-09-12,1,1.2555555555555555,0.07933333333333333,WT,WT,0.007666666666666669
F11,0.085,GC001,3,glucose-acetate,2021-09-12,1,1.2555555555555555,0.07933333333333333,WT,WT,0.005666666666666681
F10,0.088,GC001,2,glucose-acetate,2021-09-12,1,1.3811111111111112,0.0792962962962963,WT,WT,0.0087037037037037
F11,0.086,GC001,3,glucose-acetate,2021-09-12,1,1.3811111111111112,0.0792962962962963,WT,WT,0.006703703703703698
F10,0.088,GC001,2,glucose-acetate,2021-09-12,1,1.5066666666666666,0.07937037037037037,WT,WT,0.008629629629629626
F11,0.086,GC001,3,glucose-acetate,2021-09-12,1,1.5066666666666666,0.07937037037037037,WT,WT,0.006629629629629624
