well,od_600nm,identifier,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value,strain,class,od_600nm_subtracted
C2,0.094,GC064,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆rbs,Double KO,0.015238095238095245
C3,0.088,GC065,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆mgl ∆glt,Double KO,0.00923809523809524
C4,0.085,GC066,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆rbs,Double KO,0.006238095238095251
C5,0.085,GC067,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆flh,Double KO,0.006238095238095251
C6,0.084,GC068,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆flh,Double KO,0.00523809523809525
C7,0.086,GC069,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆flh ∆glt,Double KO,0.007238095238095238
C8,0.088,GC070,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆glt,Double KO,0.00923809523809524
C9,0.082,GC071,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆dpp ∆flh,Double KO,0.0032380952380952482
C10,0.081,GC072,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆nmp ∆rbs,Double KO,0.0022380952380952474
C11,0.088,GC073,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆rbs ∆glt,Double KO,0.00923809523809524
D2,0.094,GC064,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆rbs,Double KO,0.015238095238095245
D3,0.087,GC065,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆mgl ∆glt,Double KO,0.008238095238095239
D4,0.082,GC066,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆rbs,Double KO,0.0032380952380952482
D5,0.083,GC067,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆flh,Double KO,0.004238095238095249
D6,0.084,GC068,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆flh,Double KO,0.00523809523809525
D7,0.086,GC069,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆flh ∆glt,Double KO,0.007238095238095238
D8,0.082,GC070,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆glt,Double KO,0.0032380952380952482
D9,0.084,GC071,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆dpp ∆flh,Double KO,0.00523809523809525
D10,0.081,GC072,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆nmp ∆rbs,Double KO,0.0022380952380952474
D11,0.087,GC073,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆rbs ∆glt,Double KO,0.008238095238095239
E2,0.096,GC064,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆rbs,Double KO,0.017238095238095247
E3,0.087,GC065,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆mgl ∆glt,Double KO,0.008238095238095239
E4,0.081,GC066,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆rbs,Double KO,0.0022380952380952474
E5,0.084,GC067,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆flh,Double KO,0.00523809523809525
E6,0.083,GC068,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆flh,Double KO,0.004238095238095249
E7,0.089,GC069,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆flh ∆glt,Double KO,0.01023809523809524
E8,0.082,GC070,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆opp ∆glt,Double KO,0.0032380952380952482
E9,0.083,GC071,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆dpp ∆flh,Double KO,0.004238095238095249
E10,0.082,GC072,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆nmp ∆rbs,Double KO,0.0032380952380952482
E11,0.086,GC073,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆rbs ∆glt,Double KO,0.007238095238095238
F3,0.089,GC074,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆glt,Double KO,0.01023809523809524
F4,0.088,GC074,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆glt,Double KO,0.00923809523809524
F5,0.087,GC074,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆his ∆glt,Double KO,0.008238095238095239
F6,0.084,GC075,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆dpp ∆glt,Double KO,0.00523809523809525
F7,0.086,GC075,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆dpp ∆glt,Double KO,0.007238095238095238
F8,0.082,GC075,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆dpp ∆glt,Double KO,0.0032380952380952482
F9,0.084,GC076,1,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆mgl ∆opp,Double KO,0.00523809523809525
F10,0.084,GC076,2,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆mgl ∆opp,Double KO,0.00523809523809525
F11,0.085,GC076,3,glucose-acetate,2021-09-14,1,0.0,0.07876190476190476,∆mgl ∆opp,Double KO,0.006238095238095251
C2,0.095,GC064,1,glucose-acetate,2021-09-14,1,0.12555555555555556,0.07890476190476191,∆opp ∆rbs,Double KO,0.016095238095238093
C3,0.088,GC065,1,glucose-acetate,2021-09-14,1,0.12555555555555556,0.07890476190476191,∆mgl ∆glt,Double KO,0.009095238095238087
C4,0.085,GC066,1,glucose-acetate,2021-09-14,1,0.12555555555555556,0.07890476190476191,∆his ∆rbs,Double KO,0.006095238095238098
C5,0.085,GC067,1,glucose-acetate,2021-09-14,1,0.12555555555555556,0.07890476190476191,∆opp ∆flh,Double KO,0.006095238095238098
C6,0.085,GC068,1,glucose-acetate,2021-09-14,1,0.12555555555555556,0.07890476190476191,∆his ∆flh,Double KO,0.006095238095238098
C7,0.087,GC069,1,glucose-acetate,2021-09-14,1,0.12555555555555556,0.07890476190476191,∆flh ∆glt,Double KO,0.008095238095238086
C8,0.088,GC070,1,glucose-acetate,2021-09-14,1,0.12555555555555556,0.07890476190476191,∆opp ∆glt,Double KO,0.009095238095238087
