exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
0.19,0.004826300917254018,0.5,14800.0,37.0,0.0,32.0,28.9375,36.81,0.0,0.0,0.25,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
60.25,0.002038046365755552,0.5,14800.0,37.0,0.2682499999999674,32.0,28.875,36.93000000000001,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
120.32,0.0035453172551528343,0.5,14800.0,37.0,0.189349999999963,31.9375,28.875,37.03000000000003,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
180.39,0.001646410430817668,0.5,14800.0,37.0,0.22784999999996808,31.8125,28.9375,37.05000000000001,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
240.42,0.0025644206290617653,0.5,14800.0,37.0,0.2616499999999632,31.75,28.9375,36.97000000000003,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
300.46,0.0021984404223759114,0.5,14800.0,37.0,0.23424999999997134,31.75,28.8125,37.01000000000005,0.0,0.0,0.25,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
360.51,0.00033891780980074534,0.5,14800.0,37.0,0.24334999999996137,31.75,28.9375,37.03000000000003,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-3.7092375800573607
420.55,0.0008362868135625681,0.5,14800.0,37.0,0.24224999999996494,31.75,29.0,36.85000000000002,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.814133690100638
480.6,0.0020882166028825012,0.5,14800.0,37.0,0.247849999999959,31.75,29.0625,36.85000000000002,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.9718551382964842
540.66,0.0024662339339576664,0.5,14800.0,37.0,0.29174999999996426,31.6875,29.1875,36.81,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.372407968341337
600.7,0.0023438037972653013,0.5,14800.0,37.0,0.24054999999996646,31.75,29.125,36.97000000000003,0.0,0.0,0.25,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.1010362699253293
660.75,0.00353221312421905,0.5,14800.0,37.0,0.26994999999996727,31.6875,29.0,36.81,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.226432830109937
720.79,0.0030462187102976296,0.5,14800.0,37.0,0.284949999999967,31.6875,28.75,36.89000000000004,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.621040486074802
780.86,0.0029132068732469533,0.5,14800.0,37.0,0.29444999999996174,31.75,28.75,37.05000000000001,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3560487768154807
840.94,0.004275852352651495,0.5,14800.0,37.0,0.2859499999999553,31.6875,28.9375,36.950000000000045,0.0,0.0,0.07,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.389433249616649
901.01,0.003497770909229843,0.5,14800.0,37.0,0.2647499999999587,31.6875,29.125,37.09000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.617388844945166
961.09,0.003303607842620202,0.5,14800.0,37.0,0.27324999999996347,31.75,29.0,36.81,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3151872258721244
1021.12,0.003682264737987912,0.5,14800.0,37.0,0.23294999999995664,31.75,29.1875,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.52496633629944
1081.17,0.003969020991775967,0.5,14800.0,37.0,0.272049999999962,31.75,28.9375,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.623692465183825
1141.22,0.0028032482426070668,0.5,14800.0,37.0,0.22234999999994948,31.8125,29.0,36.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.4492859481021028
1201.27,0.004830505471266567,0.5,14800.0,37.0,0.28714999999995083,31.75,29.0625,36.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0093385002338477
1261.33,0.004848384264528798,0.5,14800.0,37.0,0.21264999999995665,31.8125,28.9375,36.93000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.8699547556810017
1321.39,0.014425779538211827,0.5,14800.0,37.0,0.22674999999995632,31.8125,28.9375,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.9975710486970755
1381.44,0.004684067464164751,0.5,14800.0,37.0,0.2617499999999521,31.8125,28.875,36.85000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3231424873520807
1441.48,0.004656101923083756,0.5,14800.0,37.0,0.23934999999995565,31.8125,28.875,36.93000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.1890206194194954
1501.55,0.005454015372853267,0.5,14800.0,37.0,0.2861499999999566,31.75,28.875,36.73000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5540900949630165
1561.59,0.00708601835523435,0.5,14800.0,37.0,0.20614999999994327,31.8125,29.125,36.870000000000005,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.211700071417513
1621.64,0.005604786963634496,0.5,14800.0,37.0,0.26024999999994924,31.75,29.125,36.93000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.347607420059693
1681.7,0.004835124320892552,0.5,14800.0,37.0,0.24674999999994818,31.75,29.0625,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.787084430284505
1741.78,0.006987866051921445,0.5,14800.0,37.0,0.24824999999994768,31.75,28.9375,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.8025353563186974
1801.84,0.006742613793727507,0.5,14800.0,37.0,0.2682499999999428,31.8125,28.9375,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.555225876052622
1861.87,0.006267501696617216,0.5,14800.0,37.0,0.25234999999994134,31.75,29.0,36.710000000000036,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.2082550885882517
1921.93,0.0067750873050364275,0.5,14800.0,37.0,0.25294999999993995,31.8125,29.125,36.690000000000055,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3314656280105672
1981.99,0.0054415173208711256,0.5,14800.0,37.0,0.24854999999994393,31.875,29.125,36.77000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5573094112697539
2042.06,0.007245024380184626,0.5,14800.0,37.0,0.2744499999999488,31.8125,29.0625,36.79000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3382149395571186
2102.14,0.008319556515172355,0.5,14800.0,37.0,0.24974999999994196,31.8125,29.125,36.710000000000036,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.6361862198064943
2162.18,0.006579727919536196,0.5,14800.0,37.0,0.2924499999999475,31.8125,28.9375,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.8005302435766826
