time_from_shift_hr,od600nm,ctc_concentration
-1.3423,0.0604,0
-1.0067,0.0899,0
-0.7718,0.1402,0
-0.5746,0.1557,0
-0.4151,0.1816,0
-0.2678,0.2088,0
-0.0224,0.2236,0
0.3826,0.2255,0
0.8367,0.2223,0
1.2785,0.2268,0
1.6589,0.2230,0
2.1253,0.2167,0
2.5057,0.2155,0
2.9598,0.2242,0
3.8557,0.2301,0
4.4939,0.2442,0
4.8498,0.2578,0
5.2670,0.2873,0
5.8438,0.3457,0
6.3470,0.4032,0
6.8747,0.4880,0
-1.3601,0.0591,2
-1.0042,0.0886,2
-0.7096,0.1366,2
-0.5378,0.1514,2
-0.5010,0.1701,2
-0.3660,0.1858,2
-0.1942,0.2106,2
0.0390,0.2167,2
0.4317,0.2149,2
0.8612,0.2149,2
1.3030,0.2179,2
1.8921,0.2161,2
2.3830,0.2155,2
2.9475,0.2211,2
3.8557,0.2236,2
4.4079,0.2314,2
5.2057,0.2347,2
5.8315,0.2484,2
6.3224,0.2698,2
6.8624,0.3059,2
7.4392,0.3527,2
7.9669,0.3952,2
-2.0596,0.0534,7
-1.7283,0.0699,7
-1.4337,0.0837,7
-1.1637,0.1039,7
-0.9060,0.1247,7
-0.6115,0.1531,7
-0.4028,0.1869,7
-0.3047,0.1967,7
-0.2310,0.2094,7
0.1862,0.2149,7
0.3703,0.2130,7
0.7017,0.2149,7
0.9839,0.2106,7
1.4135,0.2118,7
1.6957,0.2149,7
2.0394,0.2082,7
2.6407,0.2047,7
3.1193,0.2030,7
3.8925,0.2065,7
4.5184,0.2161,7
5.1197,0.2192,7
5.6475,0.2167,7
6.1384,0.2070,7
6.5556,0.2198,7
6.9729,0.2173,7
7.5620,0.2167,7
8.0897,0.2230,7
9.4151,0.2249,7
10.6423,0.2236,7
11.9309,0.2155,7
13.6491,0.2320,7
14.3118,0.2294,7
14.9377,0.2470,7
15.7231,0.2456,7
17.3676,0.2947,7
18.6439,0.3447,7
19.5889,0.4220,7
-2.0228,0.0581,3
-1.7405,0.0694,3
-1.4583,0.0844,3
-1.1637,0.1042,3
-0.9183,0.1272,3
-0.6115,0.1540,3
-0.4519,0.1821,3
-0.3169,0.2018,3
-0.1328,0.2173,3
0.4685,0.2167,3
0.9839,0.2100,3
1.6467,0.2142,3
2.0148,0.2142,3
2.6284,0.2217,3
3.0948,0.2155,3
3.9170,0.2082,3
4.5429,0.2179,3
5.1320,0.2340,3
6.1138,0.2340,3
6.5679,0.2381,3
6.9606,0.2387,3
7.5374,0.2808,3
8.0897,0.2564,3
9.3783,0.2792,3
10.6055,0.3303,3
11.9064,0.4101,3
-2.1578,0.0490,5
-1.9369,0.0692,5
-1.7160,0.0847,5
-1.3969,0.1063,5
-1.1392,0.1313,5
-0.8201,0.1562,5
-0.4397,0.1885,5
-0.4151,0.2059,5
-0.2433,0.2112,5
-0.0838,0.2173,5
0.3212,0.2155,5
0.6649,0.2070,5
1.2294,0.2142,5
1.7694,0.2142,5
2.3216,0.2136,5
2.9107,0.2236,5
3.7084,0.2059,5
4.2852,0.2106,5
4.8988,0.2211,5
5.6597,0.2173,5
6.0893,0.2118,5
6.7397,0.2155,5
7.3656,0.2149,5
7.8197,0.2155,5
9.1328,0.2301,5
10.3478,0.2360,5
11.6609,0.2520,5
13.4527,0.2998,5
14.0909,0.3147,5
14.7658,0.3428,5
15.5145,0.3820,5
