gene_name,sample,counts,fraction
aaeA,5,57,1.2594455655474025e-05
aaeB,5,41,9.05916985744623e-06
aaeR,5,102,2.2537446962427205e-05
aaeX,5,4,8.838214495069491e-07
aas,5,363,8.020679654275563e-05
aat,5,130,2.8724197108975847e-05
abgA,5,79,1.7455473627762245e-05
abgB,5,47,1.0384902031706652e-05
abgR,5,178,3.9330054503059236e-05
abgT,5,45,9.942991306953178e-06
abpA,5,365,8.064870726750912e-05
abpB,5,487,0.00010760526147747106
abrB,5,47,1.0384902031706652e-05
accA,5,1030,0.00022758402324803942
accB,5,283,6.253036755261665e-05
accC,5,306,6.761234088728161e-05
accD,5,2400,0.0005302928697041695
aceA,5,28729,0.006347826605721286
aceB,5,31515,0.006963408245302876
aceE,5,1219,0.00026934458673724275
aceF,5,573,0.00012660742264187046
aceK,5,4197,0.0009273496558951664
ackA,5,1158,0.00025586630963226177
acnA,5,7877,0.0017404653894415596
acnB,5,5768,0.0012744705301890207
acpH,5,40,8.838214495069492e-06
acpP,5,5803,0.0012822039678722064
acpS,5,235,5.192451015853326e-05
acpT,5,207,4.573776001198462e-05
acrA,5,1826,0.0004034644916999223
acrB,5,2648,0.0005850897995736004
acrD,5,86,1.9002161164399407e-05
acrE,5,8,1.7676428990138982e-06
acrF,5,234,5.170355479615653e-05
acrR,5,61,1.3478277104980975e-05
acrZ,5,170,3.756241160404534e-05
acs,5,17779,0.003928365387696012
actP,5,2997,0.0006622032210430816
ada,5,221,4.883113508525894e-05
add,5,265,5.855317102983538e-05
adeD,5,326,7.203144813481635e-05
adeP,5,77,1.7013562903008773e-05
adeQ,5,55,1.2152544930720551e-05
adhE,5,2751,0.0006078482018984043
adhP,5,745,0.00016461174497066927
adiA,5,55,1.2152544930720551e-05
adiC,5,19,4.198151885158009e-06
adiY,5,38,8.396303770316017e-06
adk,5,553,0.00012218831539433572
aegA,5,116,2.5630822035701526e-05
aer,5,14408,0.0031835248611240307
aes,5,184,4.0655786677319664e-05
afuB,5,0,0.0
afuC,5,8,1.7676428990138982e-06
agaA,5,77,1.7013562903008773e-05
agaB,5,9,1.9885982613906358e-06
agaC,5,7,1.546687536637161e-06
agaD,5,3,6.628660871302119e-07
agaI,5,9,1.9885982613906358e-06
agaR,5,754,0.00016660034323205992
agaS,5,14,3.093375073274322e-06
agaV,5,39,8.617259132692754e-06
agaW,5,22,4.86101797228822e-06
agp,5,7627,0.0016852265488473753
ahpC,5,9020,0.0019930173686381705
ahpF,5,1004,0.00022183918382624423
ahr,5,914,0.00020195320121233788
aidB,5,1117,0.00024680713977481557
ais,5,190,4.1981518851580085e-05
alaA,5,319,7.048476059817919e-05
alaC,5,1023,0.00022603733571140226
alaE,5,14,3.093375073274322e-06
alaS,5,3160,0.0006982189451104899
aldA,5,97615,0.02156855769840521
aldB,5,2502,0.0005528303166665967
alkA,5,100,2.209553623767373e-05
alkB,5,13,2.8724197108975847e-06
allA,5,3328,0.0007353394459897817
allB,5,510,0.00011268723481213602
allC,5,120,2.6514643485208475e-05
allD,5,11,2.43050898614411e-06
allE,5,152,3.358521508126407e-05
allR,5,5538,0.0012236507968423711
allS,5,290,6.407705508925381e-05
alpA,5,2,4.4191072475347456e-07
alr,5,128,2.828228638422237e-05
alsA,5,20,4.419107247534746e-06
alsB,5,87,1.9223116526776145e-05
alsC,5,20,4.419107247534746e-06
alsE,5,63,1.392018782973445e-05
alsK,5,90,1.9885982613906356e-05
alx,5,46,1.0163946669329916e-05
amiA,5,188,4.153960812682661e-05
amiB,5,452,9.987182379428525e-05
amiC,5,2478,0.000547527387969555
amiD,5,820,0.00018118339714892458
amn,5,664,0.00014671436061815355
ampC,5,20,4.419107247534746e-06
ampD,5,390,8.617259132692754e-05
ampE,5,483,0.00010672144002796411
ampG,5,22,4.86101797228822e-06
ampH,5,226,4.9935911897142624e-05
amtB,5,144,3.181757218225017e-05
amyA,5,5515,0.0012185688235077062
anmK,5,723,0.00015975072699838107
ansA,5,127,2.8061331021845637e-05
ansB,5,382,8.440494842791364e-05
ansP,5,78,1.7234518265385507e-05
apaG,5,298,6.584469798826772e-05
