relative_time_hr,relative_od,method,preshift_carbon,postshift_carbon,preshift_conc_mM,preshift_conc_mM,strain
-1.96,0.32,diauxie,glucose,acetate,1.7,60,NCM3722
-1.48,0.43,diauxie,glucose,acetate,1.7,60,NCM3722
-1.18,0.53,diauxie,glucose,acetate,1.7,60,NCM3722
-0.88,0.64,diauxie,glucose,acetate,1.7,60,NCM3722
-0.5,0.87,diauxie,glucose,acetate,1.7,60,NCM3722
-0.37,0.93,diauxie,glucose,acetate,1.7,60,NCM3722
0,1,diauxie,glucose,acetate,1.7,60,NCM3722
0.33,1.02,diauxie,glucose,acetate,1.7,60,NCM3722
0.64,1.01,diauxie,glucose,acetate,1.7,60,NCM3722
1.15,0.99,diauxie,glucose,acetate,1.7,60,NCM3722
1.79,1,diauxie,glucose,acetate,1.7,60,NCM3722
2.35,0.99,diauxie,glucose,acetate,1.7,60,NCM3722
3.28,1.04,diauxie,glucose,acetate,1.7,60,NCM3722
3.74,1.12,diauxie,glucose,acetate,1.7,60,NCM3722
4.25,1.2,diauxie,glucose,acetate,1.7,60,NCM3722
4.85,1.31,diauxie,glucose,acetate,1.7,60,NCM3722
5.78,1.57,diauxie,glucose,acetate,1.7,60,NCM3722
0.04,1,filtration,glucose,acetate,1.7,60,NCM3722
0.2,1,filtration,glucose,acetate,1.7,60,NCM3722
0.44,1,filtration,glucose,acetate,1.7,60,NCM3722
1.22,1,filtration,glucose,acetate,1.7,60,NCM3722
2.12,0.98,filtration,glucose,acetate,1.7,60,NCM3722
2.91,1.02,filtration,glucose,acetate,1.7,60,NCM3722
3.72,1.12,filtration,glucose,acetate,1.7,60,NCM3722
4.65,1.33,filtration,glucose,acetate,1.7,60,NCM3722
5.18,1.47,filtration,glucose,acetate,1.7,60,NCM3722
5.89,1.82,filtration,glucose,acetate,1.7,60,NCM3722
6.78,2.56,filtration,glucose,acetate,1.7,60,NCM3722
7.33,3.33,filtration,glucose,acetate,1.7,60,NCM3722
7.79,4.14,filtration,glucose,acetate,1.7,60,NCM3722
8.09,4.79,filtration,glucose,acetate,1.7,60,NCM3722
8.520001,5.91,filtration,glucose,acetate,1.7,60,NCM3722
